protein_id,bmrb_id,entity_id,pdb_path,status,error
bmr434_entity1,434,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr434_entity1.pdb,skipped_existing,
bmr435_entity1,435,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr435_entity1.pdb,skipped_existing,
bmr447_entity1,447,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr447_entity1.pdb,skipped_existing,
bmr485_entity1,485,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr485_entity1.pdb,skipped_existing,
bmr496_entity1,496,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr496_entity1.pdb,skipped_existing,
bmr547_entity1,547,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr547_entity1.pdb,skipped_existing,
bmr915_entity1,915,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr915_entity1.pdb,skipped_existing,
bmr968_entity1,968,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr968_entity1.pdb,skipped_existing,
bmr969_entity1,969,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr969_entity1.pdb,skipped_existing,
bmr970_entity1,970,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr970_entity1.pdb,skipped_existing,
bmr971_entity1,971,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr971_entity1.pdb,skipped_existing,
bmr1581_entity1,1581,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr1581_entity1.pdb,skipped_existing,
bmr1582_entity1,1582,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr1582_entity1.pdb,skipped_existing,
bmr1583_entity1,1583,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr1583_entity1.pdb,skipped_existing,
bmr1584_entity1,1584,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr1584_entity1.pdb,skipped_existing,
bmr1634_entity1,1634,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr1634_entity1.pdb,skipped_existing,
bmr1657_entity1,1657,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr1657_entity1.pdb,skipped_existing,
bmr1658_entity1,1658,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr1658_entity1.pdb,skipped_existing,
bmr1663_entity1,1663,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr1663_entity1.pdb,skipped_existing,
bmr1672_entity1,1672,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr1672_entity1.pdb,skipped_existing,
bmr1673_entity1,1673,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr1673_entity1.pdb,skipped_existing,
bmr1696_entity1,1696,1,/Users/fangruizhang/Desktop/esm_pipeline/data/esmfold_structures/bmr1696_entity1.pdb,skipped_existing,
